version,branch,series,created,release,eol
0.8,netbsd-0,major,,20-05-1993,
0.9,netbsd-0,major,,23-08-1993,
1.0,netbsd-1,major,,26-10-1993,
1.2.1,netbsd-1.2,minor,,20-05-1997,minor
2.0,netbsd-2,minor,,20-05-1997,30-04-2008
2.0.1,netbsd-2.0,minor,,20-05-1997,30-04-2008
2.1,netbsd-2.1,minor,,02-11-2005,30-04-2008
4.0.1,netbsd-4.0,minor,,14-10-2008,30-04-2008
5.0,netbsd-5,major,,30-10-2008,
5.0.1,netbsd-5,minor,,02-08-2009,
5.0.2,netbsd-5,minor,,11-02-2010,
5.1.2,netbsd-5.1,minor,,10-02-2012,
5.1.4,netbsd-5.1,minor,,25-01-2014,
5.2.2,netbsd-5.2,minor,,25-01-2014,
6.0,netbsd-6,major,30-08-2012,22-09-2014,
6.0.1,netbsd-6,minor,,26-12-2012,
6.0.3,netbsd-6,minor,,29-09-2013,
6.0.4,netbsd-6,minor,,25-01-2014,
6.0.5,netbsd-6,minor,,19-04-2014,
6.0.6,netbsd-6,minor,,06-10-2014,
6.1,netbsd-6.1,minor,,18-05-2013,
6.1.1,netbsd-6.1,minor,,21-08-2013,
6.1.2,netbsd-6.1,minor,,29-09-2013,
6.1.3,netbsd-6.1,minor,,25-01-2014,
6.1.4,netbsd-6.1,minor,,19-04-2014,
6.1.5,netbsd-6.1,minor,,06-10-2014,
7.0,netbsd-7.0,major,,08-10-2015,
7.0.1,netbsd-7.0,minor,,28-05-2016,
7.0.2,netbsd-7.0,minor,,26-10-2016,
7.1,netbsd-7.1,minor,,11-03-2017,
7.1.1,netbsd-7.1,minor,,27-12-2017,
7.1.2,netbsd-7.1,minor,,15-03-2018,
7.2,netbsd-7.2,minor,,29-08-2018,
8.0,netbsd-8,major,,17-07-2018,
8.1,netbsd-8.1,minor,,31-05-2019,
8.2,netbsd-8.2,minor,,02-04-2020,
9.0,netbsd-9,major,,14-02-2020,
9.1,netbsd-9.1,minor,,18-10-2020,
N.99.M,NetBSD-daily,devel/current,,daily,,
N.99.M,NetBSD-current,devel,,,major,
