version,branch,release,eol
2007Q4,pkgsrc-2007Q4,05-01-2008,
2008Q1,pkgsrc-2008Q1,02-01-2008,
2010Q1,pkgsrc-2010Q1,20-04-2010,
2010Q2,pkgsrc-2010Q2,02-01-2015,
2011Q1,pkgsrc-2011Q1,06-04-2011,
2011Q3,pkgsrc-2011Q3,03-10-2011,
2012Q1,pkgsrc-2012Q1,07-04-2012,
2012Q2,pkgsrc-2012Q2,03-07-2012,
2012Q3,pkgsrc-2012Q3,01-10-2012,
2012Q4,pkgsrc-2012Q4,11-01-2013,
2013Q1,pkgsrc-2013Q1,01-04-2013,
2013Q2,pkgsrc-2013Q2,04-07-2013,
2012Q4,pkgsrc-2012Q4,11-01-2013,
2013Q3,pkgsrc-2013Q3,04-10-2013,
2013Q4,pkgsrc-2013Q4,31-12-2013,
2014Q4,pkgsrc-2015Q4,02-01-2015,
2014Q4,pkgsrc-2015Q4,02-01-2015,
2015Q1,pkgsrc-2015Q1,14-04-2015,
2015Q2,pkgsrc-2015Q2,06-07-2015,
2015Q3,pkgsrc-2015Q3,30-09-2015,
2016Q1,pkgsrc-2016Q1,09-05-2016,
2016Q4,pkgsrc-2016Q4,04-01-2016,
2017Q1,pkgsrc-2017Q1,03-04-2017,
2018Q4,pkgsrc-2018Q4,31-12-2018,
2019Q3,pkgsrc-2019Q3,03-10-2019,
2020Q2,pkgsrc-2020Q2,30-06-2020,
2020Q3,pkgsrc-2020Q3,09-10-2020,
2020Q4,pkgsrc-2020Q4,07-01-2021,
